Filename	Ratio of hitting sets	Ratio of minimal hitting sets	Ratio of minimum hitting sets	Weighted approximation ratio	Overlap
9-3-4	100.00%	100.00%	92.40%	1.0760	0.7369
9-3-5	100.00%	100.00%	100.00%	1.0000	0.9997
9-3-6	100.00%	100.00%	100.00%	1.0000	0.9999
9-4-1	100.00%	100.00%	68.34%	1.3204	0.7611
9-5-3	100.00%	100.00%	87.95%	1.0603	0.6539
9-5-10	100.00%	100.00%	99.87%	1.0006	0.9793
9-6-3	100.00%	100.00%	98.63%	1.0137	0.8566
9-6-4	100.00%	100.00%	92.05%	1.0865	0.6671
9-6-9	100.00%	100.00%	73.54%	1.1354	0.7467
9-6-10	100.00%	100.00%	100.00%	1.0000	0.9488
9-7-1	100.00%	100.00%	100.00%	1.0000	0.9837
9-7-2	100.00%	100.00%	100.00%	1.0000	1.0000
9-7-3	100.00%	100.00%	84.37%	1.1563	0.7358
9-7-6	100.00%	100.00%	100.00%	1.0000	0.9996
9-7-10	100.00%	100.00%	82.58%	1.1742	0.7638
9-8-1	100.00%	100.00%	64.94%	1.3506	0.7502
9-8-2	100.00%	100.00%	98.01%	1.0100	0.8743
9-8-3	100.00%	100.00%	100.00%	1.0000	0.9997
9-8-4	100.00%	100.00%	100.00%	1.0000	0.9994
9-8-8	100.00%	100.00%	81.52%	1.1877	0.7904
9-8-9	100.00%	100.00%	60.27%	1.4012	0.8325
9-9-1	100.00%	100.00%	98.20%	1.0090	0.9250
9-9-2	100.00%	100.00%	96.59%	1.0170	0.9187
9-9-10	100.00%	100.00%	100.00%	1.0000	0.9605
9-10-1	100.00%	100.00%	100.00%	1.0000	0.9936
9-10-2	100.00%	100.00%	56.89%	1.4382	0.8100
9-10-3	100.00%	100.00%	88.10%	1.0595	0.9697
9-10-7	100.00%	100.00%	39.28%	1.3036	0.5461
9-10-8	100.00%	100.00%	100.00%	1.0000	0.8145
9-10-9	100.00%	100.00%	19.80%	1.4560	0.9272
9-10-10	100.00%	100.00%	79.42%	1.2386	0.5700
10-3-7	100.00%	100.00%	91.88%	1.0812	0.7259
10-4-5	100.00%	100.00%	100.00%	1.0000	0.9992
10-4-9	100.00%	100.00%	93.13%	1.0687	0.7273
10-5-3	100.00%	100.00%	89.01%	1.1120	0.6789
10-5-5	100.00%	100.00%	69.00%	1.3154	0.7039
10-5-6	100.00%	100.00%	96.52%	1.0348	0.7658
10-5-10	100.00%	100.00%	100.00%	1.0000	0.9998
10-6-2	100.00%	100.00%	100.00%	1.0000	0.9996
10-6-3	100.00%	100.00%	73.07%	1.2693	0.8031
10-6-4	100.00%	100.00%	71.82%	1.1409	0.9742
10-6-9	100.00%	100.00%	93.36%	1.0664	0.8256
10-8-1	100.00%	100.00%	100.00%	1.0000	0.9994
10-8-5	100.00%	100.00%	98.47%	1.0076	0.9131
10-8-9	100.00%	100.00%	80.86%	1.1963	0.7571
10-8-10	100.00%	100.00%	70.09%	1.2991	0.7835
10-10-1	100.00%	100.00%	100.00%	1.0000	0.9995
10-10-10	100.00%	100.00%	100.00%	1.0000	0.9939
